<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.08.19	00:00:00	1.00866	1.00924	1.00840	1.00862	921	0	2
2022.08.19	01:00:00	1.00862	1.00909	1.00844	1.00863	1283	0	2
2022.08.19	02:00:00	1.00863	1.00923	1.00854	1.00889	955	0	1
2022.08.19	03:00:00	1.00889	1.00913	1.00740	1.00792	3248	0	1
2022.08.19	04:00:00	1.00792	1.00834	1.00695	1.00748	3385	0	1
2022.08.19	05:00:00	1.00748	1.00864	1.00741	1.00859	2647	0	1
2022.08.19	06:00:00	1.00860	1.00870	1.00786	1.00800	1599	0	1
2022.08.19	07:00:00	1.00801	1.00804	1.00720	1.00762	1551	0	50
2022.08.19	08:00:00	1.00762	1.00835	1.00740	1.00831	2401	0	50
2022.08.19	09:00:00	1.00832	1.00900	1.00744	1.00808	6107	0	50
2022.08.19	10:00:00	1.00808	1.00955	1.00745	1.00901	6747	0	50
2022.08.19	11:00:00	1.00901	1.00908	1.00779	1.00887	4859	0	50
2022.08.19	12:00:00	1.00887	1.00892	1.00719	1.00728	3679	0	50
2022.08.19	13:00:00	1.00728	1.00731	1.00544	1.00577	4674	0	50
2022.08.19	14:00:00	1.00577	1.00609	1.00456	1.00485	6482	0	50
2022.08.19	15:00:00	1.00485	1.00677	1.00476	1.00655	6450	0	50
2022.08.19	16:00:00	1.00652	1.00686	1.00514	1.00537	7437	0	50
2022.08.19	17:00:00	1.00538	1.00548	1.00397	1.00412	7291	0	50
2022.08.19	18:00:00	1.00409	1.00507	1.00351	1.00372	5395	0	50
2022.08.19	19:00:00	1.00372	1.00413	1.00328	1.00360	3615	0	50
2022.08.19	20:00:00	1.00361	1.00454	1.00340	1.00434	2503	0	50
2022.08.19	21:00:00	1.00434	1.00460	1.00322	1.00330	2387	0	50
2022.08.19	22:00:00	1.00333	1.00408	1.00321	1.00402	2376	0	50
2022.08.19	23:00:00	1.00402	1.00431	1.00391	1.00393	918	0	1
2022.08.22	00:00:00	1.00348	1.00404	1.00347	1.00387	228	0	20
2022.08.22	01:00:00	1.00386	1.00402	1.00316	1.00353	1860	0	1
